"image,""xmin"",""ymin"",""xmax"",""ymax"",""label"""
"20200331_154306.jpg,742.034185178948,667.5749409484862,1013.6232427366448,1803.42,""ground"""
"20200331_154306.jpg,1308.425164377343,602.5589881896973,2373.116495577554,1122.6869645690917,""load_down"""
"20200331_154306.jpg,3103.544189681935,710.9189881896973,3524.4686035613868,1460.1510118103029,""counterclockwise"""
"20200331_154306.jpg,3103.544189681935,710.9189881896973,3524.4686035613868,1460.1510118103029,""counterclockwise_right"""
"20200331_154306.jpg,1441.511669326968,1481.822917327881,1970.7622312851454,1748.0791062927246,""counterclockwise"""
"20200331_154306.jpg,1441.511669326968,1481.822917327881,1970.7622312851454,1748.0791062927246,""counterclockwise_bottom"""
"20200331_154306.jpg,2481.4426436562794,1444.6710118103028,3010.6932056144565,1714.022917327881,""clockwise"""
"20200331_154306.jpg,2481.4426436562794,1444.6710118103028,3010.6932056144565,1714.022917327881,""clockwise_bottom"""
"20200331_154306.jpg,961.7814669121956,1014.3269645690918,3187.8837863167764,1348.6950590515137,""beam"""
"20200331_154311.jpg,1915.0515463917527,271.2869645690918,2756.9006102829194,463.2389881896973,""ground"""
"20200331_154311.jpg,2404.066823600047,602.5589881896973,3224.2505161961108,791.4149409484863,""arrow_left"""
"20200331_154311.jpg,1927.4317248272025,599.4630354309082,2106.9437218105672,989.5589881896973,""counterclockwise"""
"20200331_154311.jpg,1927.4317248272025,599.4630354309082,2106.9437218105672,989.5589881896973,""counterclockwise_left"""
"20200331_154311.jpg,1806.7253983130272,1017.4230354309083,2094.563543375117,1587.0869645690918,""clockwise"""
"20200331_154311.jpg,1806.7253983130272,1017.4230354309083,2094.563543375117,1587.0869645690918,""clockwise_left"""
"20200331_154311.jpg,2428.8269443386835,1528.2629173278808,2772.375774294166,1633.5269645690917,""arrow_left"""
"20200331_154311.jpg,2404.066823600047,1035.9989881896972,2747.615417423266,1159.8389881896971,""arrow_left"""
"20200331_154311.jpg,2410.25679475164,1190.7989881896974,2747.615417423266,1327.0230354309083,""arrow_left"""
"20200331_154311.jpg,2413.3517803274367,1357.9829173278808,2747.615417423266,1491.1110118103027,""arrow_left"""
"20200331_154311.jpg,2224.5548266166825,432.27898818969726,2435.01715162254,1933.8391062927246,""beam"""
"20200331_154311.jpg,2072.8981720800143,1902.8791062927246,2654.7644333557873,2231.0550590515136,""counterclockwise"""
"20200331_154311.jpg,2072.8981720800143,1902.8791062927246,2654.7644333557873,2231.0550590515136,""counterclockwise_bottom"""
"20200331_154303.jpg,788.4596772126874,435.3749409484863,1261.9996723436036,664.4789881896972,""clockwise_top"""
"20200331_154303.jpg,788.4596772126874,435.3749409484863,1261.9996723436036,664.4789881896972,""clockwise"""
"20200331_154303.jpg,1602.4532805910262,392.03101181030274,2565.008434864105,862.6230354309082,""load_up"""
"20200331_154303.jpg,2735.2352389878165,816.1830354309083,3583.2745101628398,1039.0949409484865,""arrow_left"""
"20200331_154303.jpg,794.6496483642807,832.0500000000001,2729.045267836223,1073.1510118103029,""beam"""
"20200331_154303.jpg,568.7122774133084,1073.1510118103029,1008.206958945935,1707.831011810303,""roller_support"""
"20200331_154303.jpg,345.8698920381326,1704.7350590515136,1237.2393154727038,1933.8391062927246,""ground"""
"20200331_154317.jpg,748.2241563305413,1005.0389881896973,1094.867853795689,1655.1991062927245,""clockwise"""
"20200331_154317.jpg,748.2241563305413,1005.0389881896973,1094.867853795689,1655.1991062927245,""clockwise_left"""
